Date;Comment
29.10.22 11:21:05;@mojtaba_afg36 ich bin nicht am Arsch 😂
29.10.22 11:29:00;"@moritz_zergiebel Das denke ich mir mittlerweile bei den ""Kommentaren"" zu fast jedem Post zum Thema. ""Diskussion"" findet nicht statt, nur Schuldzuweisungen und Hetze."
29.10.22 11:54:52;@f1rdevsoop Hauptsache Alessio gehts gut
29.10.22 12:00:59;@moritz_zergiebel Quatsch
29.10.22 12:07:51;@niels_hh040 auf derartig behinderte Kommentare lohnt sich keine Antwort
29.10.22 12:14:14;@shra_rsh fracking gas ist aber nicht mehr das fracking von früher, die Technologie hat sich weiter entwickelt
29.10.22 12:44:16;@kadir___kayy Junge das war vor 20 Jahren hast du doch selbst gesagt
29.10.22 12:54:07;„… diesmal“ nennt sich besser: angebotsorientierte Inflation!
29.10.22 13:06:05;@moritz_zergiebel es geht doch einfach darum das wir entschieden haben die Energie teurer wird! Das musst du doch verstehen das wir auf die Beziehung mit unseren Energielieferanten Scheissen weil Wirkung auf die Seite seiner Konfliktpartei stellen und das so konsequent das er keine Wahl als zu reagieren in dem er uns den Hahn zu dreht.  Außerdem verzichten wir ja auch noch auf NordStream 2 wieso können wir nicht Gas kaufen und trotzdem versuchen die Parteien an einem Tisch zu bekommen ? Achja weil es kein Interesse daran gibt als Vermittler zu fungieren das muss die Deutsche Öffentlichkeit verstehen wie zahlen für die Interessen anderer das ist doch verrückt wacht mal auf aus dieser Woken bubble!
29.10.22 13:07:21;NordStream 2 aufmachen sofort!!
29.10.22 13:09:03;@slimwavy90 Wir sollen Putins Krieg finanzieren? 🤔
;
